Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
peas,13.33,manual,4.28,3.92,1.67,clay,zaid,52253.6
sugarcane,63.17,flood,9.93,2.3,6.27,peaty,kharif,105404.84
cotton,83.35,drip,4.17,3.4,11.03,sandy,zaid,39665.93
cotton,450.0,rain-fed,4.36,1.08,30.23,loamy,kharif,44856.29
wheat,113.31,flood,5.9,1.25,15.32,clay,rabi,65730.36
maize,198.41,rain-fed,3.97,3.2,27.17,peaty,kharif,59487.06
rice,307.92,sprinkler,11.09,4.57,39.73,peaty,rabi,101409.67
sugarcane,262.32,rain-fed,12.76,4.27,17.3,silty,kharif,109535.24
wheat,35.66,manual,5.45,2.42,2.7,sandy,rabi,51258.5
maize,410.91,drip,6.44,3.6,39.85,sandy,kharif,35083.69
cotton,363.31,sprinkler,4.11,3.6,35.52,sandy,zaid,46761.11
cotton,254.03,manual,5.96,3.77,18.68,silty,zaid,53871.19
tomato,312.93,manual,9.45,4.39,29.63,clay,zaid,68102.93
wheat,42.65,manual,6.06,1.01,3.26,sandy,rabi,65232.31
wheat,38.55,flood,3.74,1.48,5.06,peaty,kharif,67894.41
onion,448.21,drip,8.55,4.7,41.95,silty,rabi,67594.05
maize,76.08,manual,4.57,3.04,6.71,silty,kharif,30532.81
onion,86.11,flood,8.32,4.36,5.86,sandy,kharif,58046.68
maize,445.12,drip,6.75,2.98,52.12,peaty,zaid,42042.93
tomato,321.55,drip,8.5,4.31,42.6,clay,kharif,61696.15
tomato,270.37,drip,9.79,7.24,27.49,sandy,zaid,75097.94
wheat,387.6,drip,2.61,3.58,54.05,clay,rabi,39834.5
peas,126.56,manual,6.13,2.39,8.96,clay,rabi,53932.71
barley,255.62,manual,2.6,2.51,18.43,loamy,rabi,35899.87
tomato,377.75,drip,9.61,3.65,39.36,loamy,zaid,46758.26
rice,260.12,rain-fed,10.09,2.47,13.96,silty,zaid,77010.73
barley,496.53,sprinkler,3.29,2.46,28.41,silty,kharif,33495.71
tomato,216.43,drip,9.95,3.39,12.05,peaty,kharif,70319.94
tomato,389.65,sprinkler,8.3,6.34,48.09,peaty,rabi,56771.4
potato,309.26,drip,5.2,6.0,40.18,peaty,zaid,41001.6
wheat,86.66,manual,2.51,2.61,6.56,clay,zaid,41910.41
onion,369.2,rain-fed,9.22,3.17,34.73,loamy,kharif,59871.68
tomato,123.85,flood,7.22,4.12,14.07,loamy,kharif,59159.91
wheat,176.04,manual,2.88,2.05,19.97,sandy,rabi,52921.0
potato,232.18,rain-fed,7.15,4.23,27.5,loamy,kharif,68563.65
sugarcane,403.61,manual,14.17,3.82,49.88,loamy,rabi,81547.47
barley,146.73,drip,4.71,3.06,17.92,clay,rabi,43813.75
cotton,153.35,manual,5.39,2.52,17.67,sandy,rabi,32687.86
maize,278.68,drip,3.77,1.73,26.06,silty,rabi,38805.97
sugarcane,298.74,manual,11.08,1.51,16.78,sandy,zaid,83125.36
maize,244.33,manual,4.68,1.69,18.72,loamy,zaid,64042.71
cotton,290.55,manual,4.17,2.51,17.75,peaty,rabi,60384.88
cotton,137.4,flood,3.3,1.96,8.1,loamy,kharif,48047.02
potato,424.26,manual,8.46,4.35,22.92,peaty,zaid,72726.98
peas,169.69,manual,6.45,1.58,11.92,loamy,kharif,43449.71
tomato,160.41,flood,5.13,3.27,10.75,silty,zaid,60069.99
sugarcane,43.43,flood,14.8,1.97,4.6,peaty,kharif,116546.94
maize,207.3,manual,2.16,1.51,30.99,silty,zaid,36412.18
maize,113.18,rain-fed,4.4,3.74,16.65,silty,zaid,52172.37
sugarcane,329.82,manual,8.24,1.63,39.77,silty,zaid,70718.21
cotton,246.59,rain-fed,4.59,2.14,20.79,silty,zaid,62834.14
tomato,67.64,rain-fed,9.52,4.55,9.19,clay,zaid,57252.73
maize,33.37,rain-fed,3.38,2.89,4.15,silty,zaid,62529.92
rice,441.7,rain-fed,8.96,2.42,36.42,sandy,kharif,88445.94
wheat,136.84,sprinkler,2.03,3.18,17.91,loamy,zaid,66842.1
cotton,175.52,manual,6.1,3.23,16.66,clay,rabi,66485.69
potato,61.28,rain-fed,5.21,6.72,6.75,peaty,rabi,47243.06
rice,53.61,rain-fed,13.99,1.21,6.79,clay,kharif,115571.94
