Crop,Season,Soil_Type,Area(ha),Water_Usage(cubic_meters),Irrigation_Type
rice,rabi,clayey,3.86,5291.18,surface
tomato,kharif,clayey,1.02,714.12,drip
groundnut,rabi,black,0.81,577.98,surface
sugarcane,kharif,black,4.19,7143.69,surface
cotton,summer,sandy,1.3,1104.56,drip
tomato,kharif,sandy,3.55,1834.78,drip
groundnut,kharif,sandy,4.52,3204.88,drip
onion,summer,red,3.38,1836.29,drip
rice,summer,clayey,2.5,3117.85,surface
wheat,kharif,loamy,2.19,1764.87,sprinkler
rice,rabi,sandy,4.95,5552.99,surface
sugarcane,kharif,sandy,4.09,6945.93,drip
cotton,kharif,black,2.81,3164.76,drip
groundnut,summer,loamy,4.7,3151.9,drip
tomato,kharif,loamy,0.98,546.46,drip
wheat,summer,clayey,0.55,438.13,sprinkler
sugarcane,summer,clayey,3.42,4861.15,drip
rice,rabi,clayey,3.95,4739.2,surface
rice,rabi,sandy,3.2,4579.45,surface
tomato,rabi,loamy,3.36,2325.63,drip
groundnut,kharif,clayey,0.58,472.93,surface
onion,summer,loamy,2.77,1498.36,sprinkler
wheat,kharif,red,3.92,2997.47,surface
sugarcane,kharif,red,0.86,1102.98,surface
onion,kharif,loamy,2.19,1157.21,sprinkler
sugarcane,summer,clayey,1.1,1529.58,surface
wheat,summer,clayey,3.88,3113.48,sprinkler
groundnut,kharif,loamy,2.93,2384.6,surface
sugarcane,summer,black,2.85,3733.86,drip
wheat,rabi,sandy,4.79,3538.65,surface
cotton,kharif,sandy,1.28,1305.01,drip
sugarcane,summer,sandy,2.42,3582.19,drip
cotton,kharif,black,1.29,1160.47,drip
maize,summer,loamy,1.72,1530.82,surface
rice,rabi,black,1.25,1464.83,surface
mango,kharif,black,0.59,224.81,drip
rice,summer,red,1.19,1557.46,surface
maize,rabi,clayey,2.54,1930.52,surface
citrus,kharif,clayey,1.11,493.36,drip
cotton,kharif,sandy,4.38,4783.61,drip
groundnut,rabi,black,4.73,3934.12,surface
groundnut,rabi,clayey,3.38,2449.58,surface
tomato,kharif,black,4.69,2433.96,drip
tomato,summer,clayey,2.79,1666.38,sprinkler
groundnut,summer,black,4.67,3577.15,drip
sugarcane,kharif,clayey,3.34,5363.56,surface
cotton,summer,black,4.75,4080.0,surface
sugarcane,kharif,sandy,3.97,6298.95,drip
tomato,summer,red,4.88,2436.5,sprinkler
sugarcane,kharif,black,1.64,2265.38,surface
mango,summer,clayey,3.8,1673.5,drip
rice,summer,red,4.0,4501.23,surface
cotton,summer,loamy,4.69,4498.59,surface
maize,kharif,black,0.51,337.8,sprinkler
tomato,summer,clayey,3.8,1979.62,sprinkler
groundnut,summer,loamy,1.39,849.23,drip
rice,summer,loamy,1.34,1324.34,surface
cotton,rabi,black,2.48,2889.67,drip
rice,kharif,clayey,0.89,907.66,surface
rice,kharif,red,1.56,1860.91,surface
rice,kharif,clayey,3.88,3738.26,surface
citrus,kharif,loamy,2.85,1029.73,drip
citrus,rabi,black,3.91,1832.96,drip
groundnut,summer,clayey,5.0,3943.59,surface
groundnut,rabi,red,0.76,501.36,surface
groundnut,kharif,black,4.42,2972.48,drip
cotton,summer,sandy,4.41,4020.98,drip
sugarcane,rabi,red,3.59,6181.66,surface
mango,summer,loamy,0.51,215.27,drip
groundnut,summer,clayey,4.43,3683.49,drip
groundnut,kharif,red,2.68,2055.5,surface
rice,rabi,black,4.94,6774.76,surface
rice,rabi,red,1.38,1419.63,surface
mango,kharif,black,4.09,1506.0,drip
mango,kharif,black,4.8,1906.31,drip
mango,kharif,loamy,1.27,598.26,drip
rice,rabi,sandy,1.22,1715.2,surface
tomato,kharif,clayey,3.5,2479.26,sprinkler
rice,summer,black,0.91,1175.77,surface
sugarcane,summer,clayey,2.2,3587.02,drip
tomato,kharif,loamy,1.67,918.22,sprinkler
rice,rabi,red,4.72,6218.21,surface
rice,kharif,clayey,4.79,5924.85,surface
wheat,kharif,red,2.91,2982.64,sprinkler
tomato,rabi,loamy,2.84,1773.26,sprinkler
sugarcane,rabi,sandy,2.92,4310.98,drip
cotton,kharif,black,3.56,3057.93,surface
maize,summer,sandy,3.19,2356.92,sprinkler
rice,summer,red,2.65,3598.09,surface
onion,summer,black,0.76,427.15,sprinkler
cotton,summer,loamy,3.65,2996.75,drip
cotton,summer,black,1.85,2083.11,surface
cotton,summer,black,2.02,2163.74,drip
groundnut,rabi,sandy,2.88,1841.04,surface
sugarcane,kharif,loamy,1.96,3282.54,surface
wheat,rabi,loamy,3.1,2725.14,sprinkler
onion,kharif,loamy,1.48,813.52,sprinkler
wheat,summer,red,0.96,962.67,sprinkler
cotton,rabi,loamy,4.67,3915.42,surface
onion,kharif,sandy,4.91,2602.4,drip
citrus,kharif,black,1.6,610.22,drip
tomato,rabi,red,4.8,3056.02,sprinkler
tomato,rabi,black,1.74,1107.97,drip
groundnut,kharif,sandy,0.87,606.37,drip
mango,kharif,red,3.08,1267.79,drip
maize,summer,loamy,2.23,2140.77,sprinkler
tomato,summer,loamy,0.95,470.48,sprinkler
mango,rabi,sandy,2.27,1023.3,drip
mango,kharif,red,4.27,1734.63,drip
rice,summer,sandy,1.31,1634.32,surface
cotton,summer,black,4.1,3481.79,drip
cotton,summer,loamy,0.9,812.43,drip
wheat,kharif,red,1.84,1964.86,surface
cotton,summer,sandy,1.62,1325.92,surface
mango,summer,red,2.5,1030.83,drip
groundnut,summer,red,2.8,2107.34,surface
wheat,kharif,loamy,1.14,1172.14,surface
sugarcane,summer,red,1.47,2080.7,drip
cotton,kharif,red,1.65,1571.98,surface
cotton,rabi,sandy,4.75,5085.4,surface
cotton,kharif,clayey,4.98,5372.03,drip
sugarcane,summer,red,3.22,4674.83,surface
cotton,rabi,black,0.62,645.69,surface
rice,kharif,red,0.99,1210.98,surface
rice,summer,sandy,2.13,2385.79,surface
maize,kharif,clayey,0.54,410.77,sprinkler
sugarcane,kharif,sandy,1.29,2111.73,surface
maize,kharif,red,2.07,1703.8,surface
maize,summer,sandy,4.53,3146.72,surface
tomato,rabi,red,2.98,2061.22,drip
tomato,summer,loamy,1.67,1076.81,sprinkler
cotton,kharif,black,3.05,2766.19,drip
groundnut,summer,red,2.38,1637.87,drip
onion,rabi,red,1.79,1057.04,sprinkler
mango,rabi,sandy,4.76,1832.8,drip
groundnut,summer,sandy,0.85,533.13,drip
rice,summer,sandy,0.88,965.54,surface
onion,rabi,red,4.7,2008.24,drip
onion,rabi,sandy,3.27,1903.72,drip
wheat,summer,red,3.87,3126.66,sprinkler
mango,summer,black,4.84,2071.15,drip
mango,kharif,sandy,2.15,733.86,drip
groundnut,rabi,black,2.21,1468.59,drip
rice,summer,loamy,4.24,5801.9,surface
rice,rabi,black,1.82,1933.33,surface
citrus,kharif,clayey,4.68,2492.78,drip
mango,rabi,red,4.32,1422.14,drip
wheat,rabi,clayey,2.09,1508.68,sprinkler
cotton,rabi,sandy,0.96,956.95,surface
rice,rabi,sandy,4.61,4440.89,surface
maize,rabi,black,2.18,1649.47,sprinkler
cotton,kharif,black,3.45,3366.31,surface
cotton,summer,black,0.53,611.32,surface
sugarcane,kharif,clayey,0.68,976.97,drip
groundnut,kharif,loamy,4.77,3952.97,drip
maize,rabi,black,2.98,2669.91,sprinkler
cotton,rabi,red,3.77,4134.77,surface
tomato,kharif,sandy,4.07,2076.8,drip
groundnut,summer,loamy,0.73,578.42,drip
tomato,rabi,black,1.8,1073.92,drip
tomato,summer,loamy,3.78,1983.92,drip
maize,rabi,loamy,3.5,2720.66,sprinkler
onion,summer,red,3.25,1422.63,drip
citrus,kharif,sandy,1.1,403.6,drip
